parent_fund,SUPPLEMENTAL_ID_1,Basket Shares
HRQJ,ST.US.US.IBIT,890697
HRQL,EO.CA.TO.GLXY..C48.20260220,-448
HRQL,EO.US.US.BLSH..C40.20260220,-163
HRQL,EO.US.US.BTDR..C17-5.20260220,-268
HRQL,EO.US.US.CIFR..C19.20260220,-463
HRQL,EO.US.US.CLSK..C14.20260220,-346
HRQL,EO.US.US.COIN..C250.20260220,-58
HRQL,EO.US.US.CORZ..C19.20260220,-313
HRQL,EO.US.US.HOOD..C115.20260220,-124
HRQL,EO.US.US.HUT..C60.20260220,-123
HRQL,EO.US.US.IBIT..C57.20260220,-216
HRQL,EO.US.US.IREN..C60.20260220,-318
HRQL,EO.US.US.MARA..C12.20260220,-483
HRQL,EO.US.US.MSTR..C180.20260220,-89
HRQL,EO.US.US.RIOT..C19.20260220,-445
HRQL,EO.US.US.WULF..C15.20260220,-505
HRQL,EO.US.US.XYZ..C67-5.20260220,-212
HRQL,ST.CA.TO.GLXY,132283
HRQL,ST.US.US.BLSH,52048
HRQL,ST.US.US.BTDR,98308
HRQL,ST.US.US.CIFR,133432
HRQL,ST.US.US.CLSK,100936
HRQL,ST.US.US.COIN,25285
HRQL,ST.US.US.CORZ,109798
HRQL,ST.US.US.HOOD,52592
HRQL,ST.US.US.HUT,35861
HRQL,ST.US.US.IBIT,81181
HRQL,ST.US.US.IREN,93749
HRQL,ST.US.US.MARA,134378
HRQL,ST.US.US.MSTR,32560
HRQL,ST.US.US.RIOT,134430
HRQL,ST.US.US.WULF,146701
HRQL,ST.US.US.XYZ,73626
HRQM,EO.CA.TO.AEM..C285.20260220,-24
HRQM,EO.CA.TO.ATD..C75.20260220,-74
HRQM,EO.CA.TO.BCE..C34.20260220,-46
HRQM,EO.CA.TO.BMO..C194.20260220,-34
HRQM,EO.CA.TO.BNS..C105.20260220,-64
HRQM,EO.CA.TO.CM..C132.20260220,-51
HRQM,EO.CA.TO.CNR..C140.20260220,-29
HRQM,EO.CA.TO.CP..C105.20260220,-44
HRQM,EO.CA.TO.DOL..C200.20260220,-28
HRQM,EO.CA.TO.DSG..C128.20260220,-11
HRQM,EO.CA.TO.EMA..C69.20260220,-41
HRQM,EO.CA.TO.ENB..C75.20260320,-92
HRQM,EO.CA.TO.FNV..C350.20260220,-16
HRQM,EO.CA.TO.FTS..C78.20260320,-72
HRQM,EO.CA.TO.GIB..C130.20260220.A,-26
HRQM,EO.CA.TO.H..C54.20260220,-44
HRQM,EO.CA.TO.IFC..C280.20260220,-18
HRQM,EO.CA.TO.L..C64.20260220,-55
HRQM,EO.CA.TO.MRU..C98.20260220,-20
HRQM,EO.CA.TO.NA..C174.20260220,-37
HRQM,EO.CA.TO.POW..C74.20260220,-47
HRQM,EO.CA.TO.PPL..C55.20260220,-45
HRQM,EO.CA.TO.QSR..C96.20260220,-32
HRQM,EO.CA.TO.RBA..C160.20260220,-14
HRQM,EO.CA.TO.RY..C240.20260220,-28
HRQM,EO.CA.TO.SLF..C89.20260220,-48
HRQM,EO.CA.TO.STN..C140.20260220,-10
HRQM,EO.CA.TO.SU..C72.20260220,-45
HRQM,EO.CA.TO.T..C19-5.20260220,-153
HRQM,EO.CA.TO.TD..C135.20260220,-54
HRQM,EO.CA.TO.TOU..C61-75.20260220,-24
HRQM,EO.CA.TO.TRI..C175.20260220,-9
HRQM,EO.CA.TO.TRP..C78.20260220,-82
HRQM,EO.CA.TO.WCN..C235.20260220,-25
HRQM,EO.CA.TO.WN..C98.20260220,-18
HRQM,EO.CA.TO.WPM..C195.20260220,-29
HRQM,EO.CA.TO.WSP..C280.20260220,-9
HRQM,EO.CA.TO.X..C54.20260220,-29
HRQM,ST.CA.TO.AEM,8403
HRQM,ST.CA.TO.ATD,26019
HRQM,ST.CA.TO.BCE,16263
HRQM,ST.CA.TO.BMO,11589
HRQM,ST.CA.TO.BNS,21879
HRQM,ST.CA.TO.CM,17338
HRQM,ST.CA.TO.CNR,10357
HRQM,ST.CA.TO.CP,15446
HRQM,ST.CA.TO.CSU,140
HRQM,ST.CA.TO.DOL,9899
HRQM,ST.CA.TO.DSG,3931
HRQM,ST.CA.TO.EMA,14631
HRQM,ST.CA.TO.ENB,30882
HRQM,ST.CA.TO.FFH,706
HRQM,ST.CA.TO.FNV,5779
HRQM,ST.CA.TO.FTS,24440
HRQM,ST.CA.TO.GIB.A,9132
HRQM,ST.CA.TO.H,15596
HRQM,ST.CA.TO.IFC,6301
HRQM,ST.CA.TO.L,19558
HRQM,ST.CA.TO.MRU,7006
HRQM,ST.CA.TO.NA,13107
HRQM,ST.CA.TO.POW,16713
HRQM,ST.CA.TO.PPL,15810
HRQM,ST.CA.TO.QSR,11404
HRQM,ST.CA.TO.RBA,4850
HRQM,ST.CA.TO.RY,9618
HRQM,ST.CA.TO.SLF,17042
HRQM,ST.CA.TO.STN,3589
HRQM,ST.CA.TO.SU,15756
HRQM,ST.CA.TO.T,54050
HRQM,ST.CA.TO.TD,17375
HRQM,ST.CA.TO.TOU,8471
HRQM,ST.CA.TO.TRI,3284
HRQM,ST.CA.TO.TRP,28795
HRQM,ST.CA.TO.WCN,8740
HRQM,ST.CA.TO.WN,6418
HRQM,ST.CA.TO.WPM,10370
HRQM,ST.CA.TO.WSP,3023
HRQM,ST.CA.TO.X,10099
HRQN,ST.CA.TO.AEM,1076
HRQN,ST.CA.TO.ATD,3292
HRQN,ST.CA.TO.BCE,2002
HRQN,ST.CA.TO.BMO,1486
HRQN,ST.CA.TO.BNS,3011
HRQN,ST.CA.TO.CM,2378
