FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRVY,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C195.20260320,,NVDA  260320C00195000,NVDA US 03/20/26 C195 EQUITY,OP,0.0
HRCL,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C205.20260320,,NVDA  260320C00205000,NVDA US 03/20/26 C205 EQUITY,OP,0.0
HRVY,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C185.20260327,,NVDA  260327C00185000,NVDA US 03/27/26 C185 EQUITY,OP,0.0
HRCG,,,NVO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVO..C48.20260306,,NVO   260306C00048000,NVO US 03/06/26 C48 EQUITY,OP,0.0
HRCG,,,NVO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVO..C61.20260306,,NVO   260306C00061000,NVO US 03/06/26 C61 EQUITY,OP,0.0
HRCG,,,NVO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVO..C50.20260320,,NVO   260320C00050000,NVO US 03/20/26 C50 EQUITY,OP,0.0
HRCG,,,NVO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVO..C39.20260402,,NVO   260402C00039000,NVO US 04/02/26 C39 EQUITY,OP,0.0
HRTH,,,NVS,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVS..C170.20260320,,NVS   260320C00170000,NVS US 03/20/26 C170 EQUITY,OP,0.0
HRTG,,,O,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.O..C67-5.20260320,,O     260320C00067500,O US 03/20/26 C67.5 EQUITY,OP,0.0
HRTM,,,OKE,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.OKE..C85.20260320,,OKE   260320C00085000,OKE US 03/20/26 C85 EQUITY,OP,0.0
HRCH,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C145.20260306,,ORCL  260306C00145000,ORCL US 03/06/26 C145 EQUITY,OP,0.0
HRCH,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C170.20260306,,ORCL  260306C00170000,ORCL US 03/06/26 C170 EQUITY,OP,0.0
HRCL,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C180.20260306,,ORCL  260306C00180000,ORCL US 03/06/26 C180 EQUITY,OP,0.0
HR21,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C141.20260320,,ORCL  260320C00141000,ORCL US 03/20/26 C141 EQUITY,OP,0.0
HRT9,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C141.20260320,,ORCL  260320C00141000,ORCL US 03/20/26 C141 EQUITY,OP,0.0
HRCH,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C155.20260320,,ORCL  260320C00155000,ORCL US 03/20/26 C155 EQUITY,OP,0.0
HRCL,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C160.20260320,,ORCL  260320C00160000,ORCL US 03/20/26 C160 EQUITY,OP,0.0
HRCH,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C170.20260320,,ORCL  260320C00170000,ORCL US 03/20/26 C170 EQUITY,OP,0.0
HRCH,,,ORCL,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ORCL..C145.20260402,,ORCL  260402C00145000,ORCL US 04/02/26 C145 EQUITY,OP,0.0
HRT0,,,OVV,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.OVV..C55.20260320,,OVV   260320C00055000,OVV US 03/20/26 C55 EQUITY,OP,0.0
HRT0,,,OXY,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.OXY..C53.20260320,,OXY   260320C00053000,OXY US 03/20/26 C53 EQUITY,OP,0.0
HRCL,,,PANW,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.PANW..C180.20260306,,PANW  260306C00180000,PANW US 03/06/26 C180 EQUITY,OP,0.0
HR21,,,PANW,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.PANW..C146.20260320,,PANW  260320C00146000,PANW US 03/20/26 C146 EQUITY,OP,0.0
HRCL,,,PANW,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.PANW..C160.20260320,,PANW  260320C00160000,PANW US 03/20/26 C160 EQUITY,OP,0.0
