FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRQA,,,BCE,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C34.20260220,,BCE   260220C00034000,BCE CN 02/20/26 C34. EQUITY,OP,0.0
HRQM,,,BCE,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C34.20260220,,BCE   260220C00034000,BCE CN 02/20/26 C34. EQUITY,OP,0.0
HRQY,,,BCE,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C34.20260220,,BCE   260220C00034000,BCE CN 02/20/26 C34. EQUITY,OP,0.0
HRQ1,,,BCE,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C34.20260220,,BCE   260220C00034000,BCE CN 02/20/26 C34. EQUITY,OP,0.0
HRQA,,,BEPC,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BEPC..C56.20260220,,BEPC  260220C00056000,BEPC CN 02/20/26 C56. EQUITY,OP,0.0
HRVG,,,BKNG,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BKNG..C5100.20260220,,BKNG  260220C05100000,BKNG US 02/20/26 C5100 EQUITY,OP,0.0
HRQL,,,BLSH,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BLSH..C40.20260220,,BLSH  260220C00040000,BLSH US 02/20/26 C40 EQUITY,OP,0.0
HRCJ,,,BMO,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C192.20260220,,BMO   260220C00192000,BMO CN 02/20/26 C192. EQUITY,OP,0.0
HRQA,,,BMO,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C194.20260220,,BMO   260220C00194000,BMO CN 02/20/26 C194. EQUITY,OP,0.0
HRQM,,,BMO,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C194.20260220,,BMO   260220C00194000,BMO CN 02/20/26 C194. EQUITY,OP,0.0
HRTH,,,BMY,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BMY..C55.20260220,,BMY   260220C00055000,BMY US 02/20/26 C55 EQUITY,OP,0.0
HRTS,,,BMY,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BMY..C55.20260220,,BMY   260220C00055000,BMY US 02/20/26 C55 EQUITY,OP,0.0
HRQA,,,BNS,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C105.20260220,,BNS   260220C00105000,BNS CN 02/20/26 C105. EQUITY,OP,0.0
HRQM,,,BNS,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C105.20260220,,BNS   260220C00105000,BNS CN 02/20/26 C105. EQUITY,OP,0.0
HRCJ,,,BNS,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C105.20260220,,BNS   260220C00105000,BNS CN 02/20/26 C105. EQUITY,OP,0.0
HRTH,,,BSX,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BSX..C91.20260220,,BSX   260220C00091000,BSX US 02/20/26 C91 EQUITY,OP,0.0
HRQL,,,BTDR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BTDR..C17-5.20260220,,BTDR  260220C00017500,BTDR US 02/20/26 C17.5 EQUITY,OP,0.0
HRTM,GB00MW9TK995,,BTG,,GBP,N,GB,,,,,,,,,,,,,,,EO.GB.L.BTG..C190.20260220.A,,BTG   260220C00190000,BTG LN 02/20/26 C190 EQUITY,OP,0.0
HRVG,,,BYD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BYD..C87-5.20260220,,BYD   260220C00087500,BYD US 02/20/26 C87.5 EQUITY,OP,0.0
HRTP,,,C,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.C..C116.20260220,,C     260220C00116000,C US 02/20/26 C116 EQUITY,OP,0.0
HRT9,,,CAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C647-5.20260220,,CAT   260220C00647500,CAT US 02/20/26 C647.5 EQUITY,OP,0.0
HRVP,,,CAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C647-5.20260220,,CAT   260220C00647500,CAT US 02/20/26 C647.5 EQUITY,OP,0.0
HRCL,,,CAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C685.20260220,,CAT   260220C00685000,CAT US 02/20/26 C685 EQUITY,OP,0.0
HRCL,,,CAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C705.20260220,,CAT   260220C00705000,CAT US 02/20/26 C705 EQUITY,OP,0.0
HRCL,,,CAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C790.20260306,,CAT   260306C00790000,CAT US 03/06/26 C790 EQUITY,OP,0.0
HRTG,,,CCI,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CCI..C90.20260220,,CCI   260220C00090000,CCI US 02/20/26 C90 EQUITY,OP,0.0
HRQ2,,,CCO,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260220,,CCO   260220C00170000,CCO CN 02/20/26 C170. EQUITY,OP,0.0
HRQ1,,,CCO,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260220,,CCO   260220C00170000,CCO CN 02/20/26 C170. EQUITY,OP,0.0
HRTP,,,CFG,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CFG..C62-5.20260220,,CFG   260220C00062500,CFG US 02/20/26 C62.5 EQUITY,OP,0.0
HRQL,,,CIFR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CIFR..C19.20260220,,CIFR  260220C00019000,CIFR US 02/20/26 C19 EQUITY,OP,0.0
HRQL,,,CLSK,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CLSK..C14.20260220,,CLSK  260220C00014000,CLSK US 02/20/26 C14 EQUITY,OP,0.0
HRCJ,,,CM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C130.20260220,,CM    260220C00130000,CM CN 02/20/26 C130. EQUITY,OP,0.0
HRCJ,,,CM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C131.20260220,,CM    260220C00131000,CM CN 02/20/26 C131. EQUITY,OP,0.0
HRQA,,,CM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C132.20260220,,CM    260220C00132000,CM CN 02/20/26 C132. EQUITY,OP,0.0
HRQM,,,CM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C132.20260220,,CM    260220C00132000,CM CN 02/20/26 C132. EQUITY,OP,0.0
HRT0,,,CNQ,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C48-5.20260220,,CNQ   260220C00048500,CNQ CN 02/20/26 C48.5 EQUITY,OP,0.0
HRQ1,,,CNQ,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C49.20260220,,CNQ   260220C00049000,CNQ CN 02/20/26 C49. EQUITY,OP,0.0
HRQR,,,CNQ,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C49.20260220,,CNQ   260220C00049000,CNQ CN 02/20/26 C49. EQUITY,OP,0.0
HRQA,,,CNQ,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C49-5.20260220,,CNQ   260220C00049500,CNQ CN 02/20/26 C49.5 EQUITY,OP,0.0
HRQM,,,CNR,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNR..C140.20260220,,CNR   260220C00140000,CNR CN 02/20/26 C140. EQUITY,OP,0.0
HRQP,,,COIN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C217-5.20260220,,COIN  260220C00217500,COIN US 02/20/26 C217.5 EQUITY,OP,0.0
HRV2,,,COIN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP,0.0
HRQH,,,COIN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP,0.0
HRQL,,,COIN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP,0.0
HRQP,,,COIN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP,0.0
HRV2,,,COIN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C170.20260306,,COIN  260306C00170000,COIN US 03/06/26 C170 EQUITY,OP,0.0
HRQH,,,COIN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C170.20260306,,COIN  260306C00170000,COIN US 03/06/26 C170 EQUITY,OP,0.0
HRQL,,,CORZ,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CORZ..C19.20260220,,CORZ  260220C00019000,CORZ US 02/20/26 C19 EQUITY,OP,0.0
HRV6,,,COST,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C965.20260220,,COST  260220C00965000,COST US 02/20/26 C965 EQUITY,OP,0.0
HRQP,,,COST,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C970.20260220,,COST  260220C00970000,COST US 02/20/26 C970 EQUITY,OP,0.0
HRQP,,,COST,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C980.20260220,,COST  260220C00980000,COST US 02/20/26 C980 EQUITY,OP,0.0
HRV6,,,COST,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C1015.20260306,,COST  260306C01015000,COST US 03/06/26 C1015 EQUITY,OP,0.0
HRVP,,,CP,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CP..C100.20260220,,CP    260220C00100000,CP CN 02/20/26 C100. EQUITY,OP,0.0
